Code,Description,SecondDescription,FatherNum,Level,Active,Category,Postable
132.04,Cost incurred in constructing separators and other treating plants and equipment,Engineering; Procurement; Construction; ,132,3,YES,,YES
132.05,Capital expenditure incurred to enhance oil recovery through secondary or tertiary operations,Commissioning/Start up; Project Management; contractors?  project  management;?  materials  and  other related costs.,132,3,YES,,YES
132.06,"Capital expenditure incurred on Utilities including electricity plants, turbines, transmission lines etc. "," Contractor's Project Management,  Installation & testing, tree & manifold systems, tie-in and control systems, distribution and surface control systems, umbilical, Commissioning/Start up, material, and other related costs.",132,3,YES,,YES
132.07,"Cost incurred for land transportation infrastructure e.g. roads, bridges, and drains etc.",,132,3,YES,,YES
132.08,Cost incurred for water transportation infrastructure  e.g. jetty and harbour etc.,"Capital expenditure incurred on Utilities including electricity plants, turbines, transmission lines, material etc. ",132,3,YES,,YES
132.09,"Cost incurred for air transportation infrastructure  e.g. helipads, hangers etc.","Commissioning; Contractor Project Management, material and other related costs.",132,3,YES,,YES
132.1,"Cost of flow line that move oil from well heads to production  facilities  ?  for  onshore,  land,  swamp,  and shallow waters production. ","Commissioning; Contractor Project Management, material, and other related costs.",132,3,YES,,YES
132.11,Cost incurred in constructing  a lined wall around oil tanks designed to catch all oil that leaks from it ,Engineering; Procurement; Construction; ,132,3,YES,,YES
132.5,Indirect Common cost identifiable to capital construction  ?  oil  (onshore  and  shallow  waters)  ,"In-field flowlines for hydrocarbons and water, export pipelines for hydrocarbons including risers, cathodic and/or impressed current protection systems, riser guards, for land, swamp, shallow waters, materials.",132,3,YES,,YES
132.6,Direct Common cost identifiable to capital construction  ?  oil  (onshore  and  shallow  waters)  ,"Commissioning; Contractor Project Management, material, and other related costs.",132,3,YES,,YES
133,"Cost of acquiring, constructing  and installing onshore and shallow waters facilities (Gas)",,100,2,YES,,NO
133.01,"Cost incurred on studies carried out during the development phase of a well, field or producing area.",,133,3,YES,,YES
133.02,"Cost incurred on Construction surveys, ",,133,3,YES,,YES
133.03,Cost of constructing production platforms that receive oil from various well heads before passing to production separators ,"Studies carried out on well, field or producing areas including Feasibility studies, materials, Conceptual design studies, HAZOP studies, Constructability studies, Maintainability studies, Field abandonment studies and other related study costs.",133,3,YES,,YES
133.04,Cost incurred in constructing separators and other treating plants and equipment,It  includes Feasibility studies; Civil works; ,133,3,YES,,YES
133.05,Capital expenditure incurred to enhance oil recovery through secondary or tertiary operations,Engineering; Procurement; Construction; ,133,3,YES,,YES
133.06,"Capital expenditure incurred on Utilities including electricity plants, turbines, transmission lines etc. ",Cost includes Feasibility studies; Engineering; ,133,3,YES,,YES
133.07,"Cost incurred for land transportation infrastructure e.g. roads, bridges, and drains etc.",Procurement; Installation; Commissioning/Start up; ,133,3,YES,,YES
133.08,Cost incurred for water transportation infrastructure  e.g. jetty and harbour etc.,"Capital expenditure incurred on Utilities including electricity plants, turbines, transmission lines etc. ",133,3,YES,,YES
133.09,"Cost incurred for air transportation infrastructure  e.g. helipads, hangers etc.","Commissioning; Contractor Project Management, materials, and other related costs.",133,3,YES,,YES
133.1,Cost of flow line that move Gas from well heads ,"Commissioning; Contractor Project Management, materials, and other related costs.",133,3,YES,,YES
133.11,Cost incurred in constructing  a lined wall around gas tanks designed to catch all gas that leaks from it ,"Commissioning; Contractor Project Management, materials, and other related costs.",133,3,YES,,YES
133.5,Indirect Common cost identifiable to capital construction - Gas ,,133,3,YES,,YES
133.6,Direct Common cost identifiable to capital construction - Gas ,"Commissioning; Contractor Project Management, materials, and other related costs.",133,3,YES,,YES
134,"Cost incurred in safety, pollution and environment control activities",Indirect Common cost as apportioned from code 5000 series,100,2,YES,,NO
134.01,Cost incurred on pollution control equipment and facilities for environmental protection,Direct Common cost as apportioned from code 5000 series,134,3,YES,,YES
134.02,Cost incurred on Environmental Impact ,,134,3,YES,,YES
134.03,Cost incurred in managing waste and effluents for environmental protection,"Includes cost of Oil Spill pollution control equipment such as Oil skimmers and ancillaries such as pumps, valves, hoses & connections, materials, etc.,",134,3,YES,,YES
134.04,Cost of weather monitoring equipment,,134,3,YES,,YES
134.05,Cost incurred in acquisition and installation of firefighting equipment,"Includes cost of Sewage Treatment Equipment for onshore & offshore locations, Waste Water equipment, Landfill, Incinerator, Compactors, ",134,3,YES,,YES
134.06,Cost incurred in acquisition and installation of safety equipment,"Segregation Yard, incinerator yard concretizing/construction cost",134,3,YES,,YES
134.07,Cost of acquisition and installing security apparatus on facilities.,"Including wind current, tidal and seabed evaluationand other related costs.",134,3,YES,,YES
134.5,"Indirect Common cost identifiable to development safety, loss prevention, and environmental protection","Includes  purchasing, installation and upgrading fire trucks and buildings; Fire suits and accessories; Fire truck and tanker; Safety & Environmental training equipment; Fire detection/extinction and other related costs.",134,3,YES,,YES
134.6,"Direct Common cost identifiable to development safety, loss prevention, and environmental protection","Including cost of CCTV, Bullet Proof Vans; Detector Gadgets; Bullet/Bomb proof equipment etc. ",134,3,YES,,YES
136,"Cost of acquiring, constructing  and installing offshore and deep offshore facilities",,100,2,YES,,NO
136.01,"Cost incurred on studies carried out during the development phase of a well, field or producing area.",,136,3,YES,,YES
136.02,"Cost incurred on Construction surveys, ",,136,3,YES,,YES
136.03,The cost of  facilities installed on the offshore and Deep offshore platform excluding Flotels,"Studies carried out on well, field or producing areas including Feasibility studies, Conceptual design studies, HAZOP studies, Constructability studies, Maintainability studies, Field abandonment studies and other related study costs.",136,3,YES,,YES
136.04,Cost incurred in constructing separators and other treating plants and equipment,"Costs associated with Construction surveys, Topographical surveys, Rouleb surveys, As-built surveys, Hydrographic & Underwater Surveys, Geotechnical, shallow hazards, including Site acquisition;  Clearing, and other related survey costs.",136,3,YES,,YES
136.05,Capital expenditure incurred to enhance oil recovery through secondary or tertiary operations,,136,3,YES,,YES
